,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
206,Dr. Mundo,10,12.8%,-,10,5,1,9,10%,1.7,3.1,3.2,1.58,230.8,6.32,11,302,-,-,53.3%,18.5%,20.6%,
207,Kassadin,10,12.8%,2,8,6,5,3,62.5%,4.38,2.5,6.75,4.45,246.88,6.96,13,367,-,-,63.6%,25%,21.6%,
208,Jinx,10,12.8%,3,7,3,2,5,28.6%,1.71,4.29,5,1.57,227.43,6.72,10.8,318,-,-,61%,15.6%,22.2%,
209,Talon,7,9%,-,7,4,3,4,42.9%,2.86,5.29,5,1.49,258.57,7.69,12.2,363,-,-,53.4%,19.4%,22.2%,
210,Xerath,6,7.7%,-,6,6,2,4,33.3%,1.5,1.67,2.5,2.4,332.83,8.96,13,350,-,-,64.9%,24.3%,23.8%,
211,Aatrox,6,7.7%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
212,Vayne,4,5.1%,-,4,3,3,1,75%,5.25,0.75,4.75,13.33,293,8.67,13.8,408,-,-,63.5%,33.3%,23.8%,
213,Leona,3,3.8%,-,3,2,1,2,33.3%,1.67,3.33,5.33,2.1,40.67,1.05,7.7,200,-,-,45.7%,10.9%,13.6%,
214,Pantheon,3,3.8%,-,3,2,1,2,33.3%,5,5,3.67,1.73,85,3.05,8.3,299,-,-,60.5%,34.9%,19.1%,
215,Blitzcrank,3,3.8%,-,3,1,0,3,0%,1.33,6.33,7,1.32,23.33,0.8,6.3,216,-,-,71.4%,11.4%,15.7%,
216,Sona,3,3.8%,-,3,2,0,3,0%,0.33,4,4.33,1.17,12,0.4,6.2,207,-,-,73.7%,5.3%,14.3%,
217,Rammus,3,3.8%,1,2,2,2,0,100%,2,3,11.5,4.5,97.5,2.62,10.7,286,-,-,71.1%,10.5%,16.2%,
218,Evelynn,2,2.6%,-,2,2,2,0,100%,3,1,12,15,113.5,2.97,12.8,334,-,-,63.8%,12.8%,18.8%,
219,Caitlyn,2,2.6%,-,2,1,1,1,50%,5.5,2,4,4.75,487.5,9.43,21.4,414,-,-,63.3%,36.7%,25.1%,
220,Graves,2,2.6%,-,2,2,1,1,50%,3.5,2.5,6,3.8,252.5,7.62,12,362,-,-,51.4%,18.9%,22.3%,
221,Singed,2,2.6%,-,2,1,1,1,50%,3.5,2.5,13,6.6,277.5,8.23,13.3,395,-,-,70.2%,14.9%,22%,
222,Ziggs,2,2.6%,-,2,2,1,1,50%,2,1.5,5,4.67,354.5,8.43,14.7,348,-,-,50%,14.3%,22.6%,
223,Ezreal,2,2.6%,-,2,2,0,2,0%,3,1,2,5,226.5,6.37,10.8,305,-,-,47.6%,28.6%,22.1%,
224,Akali,1,1.3%,-,1,1,1,0,100%,9,0,8,17,188,6.52,12.8,444,-,-,70.8%,37.5%,21.6%,
225,Fiddlesticks,1,1.3%,-,1,1,1,0,100%,5,4,10,3.75,112,2.6,12.3,286,-,-,75%,25%,17.9%,
226,Katarina,1,1.3%,-,1,1,1,0,100%,12,2,16,14,195,6.65,14.7,501,-,-,71.8%,30.8%,21.9%,
227,Lissandra,1,1.3%,-,1,1,1,0,100%,4,2,11,7.5,363,9.66,16.6,442,-,-,57.7%,15.4%,22.4%,
228,Riven,1,1.3%,-,1,1,1,0,100%,0,2,4,2,345,7.62,16.3,360,-,-,36.4%,0%,21.3%,
229,Swain,1,1.3%,-,1,1,1,0,100%,1,8,9,1.25,211,4.17,13.6,269,-,-,47.6%,4.8%,16.1%,
230,Galio,1,1.3%,-,1,1,0,1,0%,0,7,3,0.43,165,5.07,7.9,243,-,-,27.3%,0%,17%,
231,Nunu,1,1.3%,-,1,1,0,1,0%,0,5,2,0.4,93,2.8,7.4,223,-,-,100%,0%,16.7%,
232,Varus,1,1.3%,-,1,1,0,1,0%,3,3,0,1,221,7.67,9.1,316,-,-,100%,100%,26.9%,
233,Vi,1,1.3%,-,1,1,0,1,0%,0,7,1,0.14,112,3.23,7.5,216,-,-,50%,0%,16.9%,
234,Gragas,1,1.3%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
235,Gangplank,73,100%,69,4,4,4,0,100%,3.5,1.25,6.25,7.8,225.25,7.77,12.6,434,-,-,66.1%,23.7%,23.4%,
236,Mordekaiser,72,98.6%,68,4,4,4,0,100%,6.5,1,11.25,17.75,246.25,7.37,14,420,-,-,84.5%,31%,22.6%,
237,Elise,71,97.3%,32,39,14,26,13,66.7%,2.46,2.36,6.41,3.76,107.56,3,10.8,301,-,-,62.1%,17.2%,17.9%,
238,Lulu,69,94.5%,43,26,16,13,13,50%,1.96,1.96,7.15,4.65,270.85,7.5,12.4,344,-,-,74.3%,16%,21.5%,
239,Rek'Sai,56,76.7%,19,37,10,15,22,40.5%,1.35,2.54,7.54,3.5,122.62,3.35,11,300,-,-,72.6%,11%,18.4%,
240,Kalista,54,74%,25,29,13,14,15,48.3%,4.34,2.24,4.9,4.12,295.76,8.39,13.5,383,-,-,74.7%,35.1%,23.7%,
241,Darius,53,72.6%,15,38,16,19,19,50%,3.61,3.34,3.76,2.2,235.82,6.83,11.8,341,-,-,56.9%,27.8%,20.8%,
242,Azir,42,57.5%,28,14,8,10,4,71.4%,3.5,2.64,6.43,3.76,316.43,8.92,14,394,-,-,71.6%,25.3%,22.9%,
243,Thresh,35,47.9%,6,29,14,13,16,44.8%,0.76,3.03,8.24,2.97,33.48,0.95,7.7,219,-,-,70%,5.9%,13.4%,
244,Tahm Kench,34,46.6%,20,14,7,10,4,71.4%,0.79,2.43,9.79,4.35,40.07,1.09,8.6,232,-,-,63.8%,4.7%,13.7%,
245,Alistar,33,45.2%,3,30,11,15,15,50%,0.3,2.73,9.67,3.65,40.43,1.12,8.2,227,-,-,80.2%,2.4%,13.9%,
246,Jinx,33,45.2%,4,29,13,15,14,51.7%,5.07,2.34,5.21,4.38,332.79,8.83,15.3,407,-,-,73%,36%,24.8%,
247,Gragas,33,45.2%,4,29,12,13,16,44.8%,1.28,3.03,6.97,2.72,109.76,3.02,10.1,278,-,-,64.9%,10.1%,17.1%,
248,Lee Sin,28,38.4%,10,18,7,9,9,50%,2.5,2.78,8,3.78,91.67,2.77,9.7,292,-,-,75.3%,17.9%,17.8%,
249,Twisted Fate,28,38.4%,16,12,8,7,5,58.3%,3.83,2.58,6.92,4.16,275,8.37,13.8,420,-,-,75.9%,27.1%,24.9%,
250,Tristana,27,37%,-,27,11,11,16,40.7%,3.3,2.15,4.19,3.48,297.7,8.48,13.5,384,-,-,71.1%,31.3%,24.3%,
251,Braum,24,32.9%,3,21,14,8,13,38.1%,0.48,2.9,8.1,2.95,40.14,1.18,7.6,223,-,-,78.6%,4.4%,13.9%,
252,Fiora,23,31.5%,4,19,6,11,8,57.9%,3.63,2.95,4.05,2.61,294.37,8.15,13.7,380,-,-,61.3%,29%,22.9%,
253,Gnar,21,28.8%,2,19,12,8,11,42.1%,2.63,3.26,6.63,2.84,237.58,6.58,12,333,-,-,65.7%,18.7%,20.4%,
254,Kennen,21,28.8%,5,16,10,8,8,50%,2.75,3.69,6.69,2.56,197.81,5.11,12.3,318,-,-,57.2%,16.7%,18.7%,
255,Morgana,20,27.4%,2,18,8,8,10,44.4%,0.33,2.72,8.61,3.29,36.33,0.99,8.8,239,-,-,72.5%,2.7%,14.7%,
256,Sivir,19,26%,-,19,8,9,10,47.4%,3.37,2.37,6.47,4.16,324.63,9.05,14.6,408,-,-,77.9%,26.7%,24.5%,
257,Viktor,18,24.7%,1,17,8,8,9,47.1%,3.76,1.82,4.12,4.32,330.71,9.33,13.9,392,-,-,62%,29.6%,23.9%,
258,Veigar,18,24.7%,10,8,5,3,5,37.5%,3.88,3,5.38,3.08,297.5,8.17,13.4,367,-,-,78.7%,33%,23.1%,
259,LeBlanc,17,23.3%,6,11,6,6,5,54.5%,5.09,1.45,4.91,6.88,314.91,8.16,14.5,375,-,-,65.5%,33.3%,22.5%,
260,Shen,15,20.5%,3,12,5,10,2,83.3%,0.92,2.75,11.08,4.36,69.92,1.87,9.6,258,-,-,69.6%,5.3%,14.5%,
261,Malphite,14,19.2%,4,10,7,3,7,30%,1.8,1.8,5.2,3.89,247.5,6.29,12.1,307,-,-,57.9%,14.9%,19.6%,
262,Ashe,13,17.8%,4,9,3,5,4,55.6%,3,1.56,6.44,6.07,293.11,8.6,13.3,390,-,-,65.4%,20.8%,23.1%,
263,Orianna,12,16.4%,-,12,6,3,9,25%,2.58,3.08,4.5,2.3,362.25,9.32,14.8,381,-,-,69.7%,25.4%,24.1%,
264,Olaf,12,16.4%,2,10,7,4,6,40%,4.3,2.6,4.6,3.42,236.7,6.67,12,339,-,-,65.9%,31.9%,21%,
265,Yasuo,12,16.4%,6,6,6,2,4,33.3%,3.33,4,6.5,2.46,302.17,8.49,13.3,374,-,-,79.7%,27%,23.8%,
266,Riven,10,13.7%,-,10,5,5,5,50%,3.4,3.6,4.1,2.08,286.8,8.2,13.3,380,-,-,59.5%,27%,22.5%,
267,Annie,10,13.7%,1,9,7,4,5,44.4%,1.22,3,8,3.07,18.89,0.53,8.3,231,-,-,75.5%,10%,14.4%,
268,Renekton,10,13.7%,4,6,3,4,2,66.7%,3.67,1.83,4.17,4.27,309.67,8.85,13.9,397,-,-,55.3%,25.9%,22.6%,
269,Ekko,9,12.3%,-,9,9,3,6,33.3%,3.11,3.44,6.89,2.9,282.89,7.61,13.4,360,-,-,68.2%,21.2%,21.9%,
270,Fizz,9,12.3%,5,4,1,2,2,50%,4,2,3.75,3.88,263.5,7.37,12.4,347,-,-,59.6%,30.8%,21.5%,
271,Kog'Maw,8,11%,1,7,4,3,4,42.9%,6,2.57,5.43,4.44,362,8.56,16.7,395,-,-,81.6%,42.9%,24.2%,
272,Ryze,8,11%,2,6,2,5,1,83.3%,4.83,1.33,5.17,7.5,244.33,8.44,11.8,406,-,-,65.2%,31.5%,22.2%,
273,Kassadin,7,9.6%,-,7,3,5,2,71.4%,5.29,1.86,8,7.15,292.29,7.48,14.5,372,-,-,74.4%,29.6%,22%,
274,Vayne,7,9.6%,1,6,5,2,4,33.3%,4.33,2.83,3.83,2.88,239.5,7.47,11.8,367,-,-,60.5%,32.1%,23.2%,
275,Anivia,6,8.2%,-,6,2,4,2,66.7%,1.5,2.67,4,2.06,368.67,9.29,14.8,373,-,-,55%,15%,23.2%,
276,Rumble,6,8.2%,1,5,1,4,1,80%,5.8,3,5.8,3.87,272.2,7.88,13.6,394,-,-,59.8%,29.9%,22.2%,
277,Diana,6,8.2%,2,4,3,2,2,50%,3.75,3.75,5.75,2.53,316,8.47,14.4,387,-,-,58.5%,23.1%,22.7%,
278,Nidalee,6,8.2%,3,3,3,3,0,100%,4,2,9.33,6.67,169.33,4.31,14.8,377,-,-,63.5%,19%,20.2%,
279,Varus,6,8.2%,4,2,2,1,1,50%,2,5,6,1.6,281,8.14,12.4,361,-,-,84.2%,21.1%,22%,
280,Jarvan IV,5,6.8%,-,5,3,4,1,80%,2.2,3.4,10.2,3.65,132.8,3.46,11.9,310,-,-,74.7%,13.3%,17.6%,
281,Caitlyn,5,6.8%,-,5,3,3,2,60%,2.4,1.6,3.6,3.75,332.8,8.71,14.7,386,-,-,57.7%,23.1%,23.7%,
282,Hecarim,5,6.8%,-,5,4,2,3,40%,3.4,2.4,6.4,4.08,246.8,7.25,12.4,365,-,-,81.7%,28.3%,22.1%,
283,Lissandra,4,5.5%,-,4,4,2,2,50%,2.75,3.75,9.75,3.33,272.25,8.14,12.6,375,-,-,73.5%,16.2%,22%,
284,Evelynn,4,5.5%,-,4,3,1,3,25%,1.25,4,5,1.56,103,2.69,10,261,-,-,62.5%,12.5%,17.1%,
285,Janna,3,4.1%,-,3,3,2,1,66.7%,0,2,13.33,6.67,17.33,0.43,9.6,237,-,-,81.6%,0%,14.1%,
286,Ahri,3,4.1%,-,3,3,1,2,33.3%,3,1,8,11,357,9.08,15.3,389,-,-,86.8%,23.7%,23.7%,
287,Skarner,3,4.1%,-,3,3,1,2,33.3%,0.67,1.67,4.67,3.2,96.67,3.02,8.9,279,-,-,69.6%,8.7%,17.2%,
288,Maokai,3,4.1%,-,3,2,0,3,0%,0.67,3.33,2.33,0.9,157.33,5.22,7.7,257,-,-,69.2%,15.4%,18.5%,
289,Zac,2,2.7%,-,2,1,2,0,100%,0,2,15.5,7.75,95.5,2.16,11.7,263,-,-,64.6%,0%,15.1%,
290,Bard,2,2.7%,-,2,2,0,2,0%,1.5,5,7,1.7,30.5,0.86,8,224,-,-,60.7%,10.7%,14.4%,
291,Irelia,2,2.7%,-,2,2,0,2,0%,2.5,4.5,1.5,0.89,228,6.65,10.3,299,-,-,61.5%,38.5%,22.1%,
292,Rengar,2,2.7%,-,2,2,0,2,0%,2,3,4,2,95.5,3.15,8.7,285,-,-,70.6%,23.5%,18.9%,
293,Zed,2,2.7%,-,2,2,0,2,0%,3.5,3,3.5,2.33,250,7.17,12.2,348,-,-,58.3%,29.2%,22.9%,
294,Draven,1,1.4%,-,1,1,1,0,100%,5,1,7,12,241,7.17,14.6,435,-,-,57.1%,23.8%,23%,
295,Graves,1,1.4%,-,1,1,1,0,100%,9,2,6,7.5,356,8.97,17.3,436,-,-,68.2%,40.9%,23.8%,
296,Karthus,1,1.4%,-,1,1,1,0,100%,4,3,10,4.67,274,9.17,12.8,428,-,-,73.7%,21.1%,23%,
297,Leona,1,1.4%,-,1,1,1,0,100%,0,3,7,2.33,60,2.42,7,283,-,-,43.8%,0%,14.6%,
298,Lucian,1,1.4%,-,1,1,1,0,100%,7,4,11,4.5,295,8.03,15.3,417,-,-,81.8%,31.8%,22.3%,
299,Vladimir,1,1.4%,-,1,1,1,0,100%,0,3,8,2.67,318,7.31,14.9,343,-,-,50%,0%,19.9%,
300,Blitzcrank,1,1.4%,-,1,1,0,1,0%,1,5,2,0.6,16,0.55,5.8,198,-,-,75%,25%,14.5%,
301,Brand,1,1.4%,-,1,1,0,1,0%,1,6,10,1.83,29,0.83,8.6,246,-,-,78.6%,7.1%,15.2%,
302,Cassiopeia,1,1.4%,-,1,1,0,1,0%,1,1,4,5,341,8.61,13.2,333,-,-,50%,10%,21.9%,
303,Jayce,1,1.4%,-,1,1,0,1,0%,1,2,7,4,359,9.33,14.7,382,-,-,50%,6.3%,22.4%,
304,Nautilus,1,1.4%,-,1,1,0,1,0%,0,6,9,1.5,72,1.66,9.4,217,-,-,50%,0%,12.7%,
305,Nunu,1,1.4%,-,1,1,0,1,0%,1,5,11,2.4,92,2.63,10,286,-,-,85.7%,7.1%,17.7%,
306,Syndra,1,1.4%,-,1,1,0,1,0%,2,1,3,5,510,9.2,19.8,357,-,-,83.3%,33.3%,25.1%,
307,Twitch,1,1.4%,-,1,1,0,1,0%,4,4,2,1.5,213,6.43,10.4,314,-,-,50%,33.3%,20.8%,
308,Vi,1,1.4%,-,1,1,0,1,0%,0,6,1,0.17,128,2.94,10.6,244,-,-,10%,0%,16%,
309,Nidalee,77,100%,66,11,10,8,3,72.7%,2.55,2.82,5.45,2.84,195.82,4.92,15.1,380,-,-,62%,19.7%,20.4%,
310,Syndra,75,97.4%,59,16,10,10,6,62.5%,4.81,2.5,4.38,3.68,338.31,9.09,15.5,418,-,-,62.6%,32.8%,22.7%,
311,Olaf,59,76.6%,23,36,14,18,18,50%,2.5,2.28,5.69,3.6,160.17,4.16,13.1,341,-,-,65.8%,20.1%,19.1%,
312,Karma,58,75.3%,16,42,16,19,23,45.2%,0.57,2.52,6.88,2.95,62.07,1.62,10.3,267,-,-,68.2%,5.2%,15.2%,
313,Jhin,51,66.2%,12,39,13,24,15,61.5%,3.87,1.9,5.95,5.18,324.64,8.25,15.7,398,-,-,66.7%,26.3%,21.7%,
314,Elise,50,64.9%,21,29,15,10,19,34.5%,2.21,2.59,4.93,2.76,149.14,3.97,12.6,336,-,-,65.5%,20.3%,19.5%,
315,Caitlyn,49,63.6%,15,34,11,16,18,47.1%,2.74,2.18,4.21,3.19,364.35,9.46,15.9,412,-,-,61.5%,24.2%,23.3%,
316,Jayce,47,61%,21,26,15,15,11,57.7%,2.73,2.85,5.31,2.82,306.65,8.52,14.4,399,-,-,62.2%,21.1%,22%,
317,Ryze,46,59.7%,27,19,11,10,9,52.6%,3.74,1.79,4.47,4.59,322.74,9.06,14.7,412,-,-,63.9%,29.1%,22.9%,
318,Lee Sin,45,58.4%,8,37,13,21,16,56.8%,2.7,2.38,6.3,3.78,152.84,3.83,13.6,341,-,-,65.8%,19.8%,18.8%,
319,Rumble,41,53.2%,9,32,13,16,16,50%,2.38,3.41,4.81,2.11,296.31,7.89,13.9,371,-,-,57.2%,18.9%,21%,
320,Ezreal,39,50.6%,7,32,12,11,21,34.4%,3.81,2.22,3.66,3.37,330.75,8.6,15.2,394,-,-,67.7%,34.6%,22.9%,
321,Poppy,38,49.4%,9,29,11,14,15,48.3%,1.66,2.1,4.66,3,309.31,7.45,14.7,354,-,-,56.3%,14.8%,20.2%,
322,Kennen,37,48.1%,14,23,12,12,11,52.2%,2.78,3.39,4.65,2.19,296.57,7.64,14.4,370,-,-,56.4%,21.1%,20.6%,
323,Rek'Sai,34,44.2%,16,18,12,8,10,44.4%,1.44,2.5,7.06,3.4,168.44,4.49,13.1,350,-,-,66.2%,11.3%,19.6%,
324,Aurelion Sol,32,41.6%,20,12,10,8,4,66.7%,4.92,2.5,6.67,4.63,286.08,7.58,14.6,387,-,-,76.8%,32.6%,21.3%,
325,Sivir,31,40.3%,11,20,11,10,10,50%,2.3,1.65,5.85,4.94,354.95,9.91,15.1,421,-,-,64.2%,18.1%,23.5%,
326,Gnar,30,39%,12,18,12,7,11,38.9%,2.06,2.61,4.06,2.34,290.61,7.82,13.6,367,-,-,47.8%,16.1%,20.8%,
327,Viktor,29,37.7%,6,23,8,13,10,56.5%,3.7,2.39,3.61,3.05,366.7,9.29,16.4,416,-,-,59.2%,29.9%,22.8%,
328,Alistar,28,36.4%,5,23,16,15,8,65.2%,0.61,2.61,8.48,3.48,38,1,9.8,258,-,-,71.3%,4.8%,14.2%,
329,Cassiopeia,28,36.4%,6,22,10,8,14,36.4%,3.05,2.73,3.82,2.52,301.27,8.36,13.7,380,-,-,62.1%,27.6%,21.8%,
330,Zyra,27,35.1%,5,22,5,14,8,63.6%,1.45,2.77,6.73,2.95,34.23,0.89,11,287,-,-,56.3%,10%,15.4%,
331,Vladimir,27,35.1%,12,15,9,7,8,46.7%,3.33,1.8,4.67,4.44,306.53,7.98,14.1,368,-,-,64.9%,27%,21.2%,
332,Nami,26,33.8%,2,24,12,10,14,41.7%,0.71,2.42,10.33,4.57,22.63,0.56,10.4,257,-,-,81%,5.2%,14.4%,
333,Tahm Kench,23,29.9%,12,11,7,6,5,54.5%,1.45,2.73,7.09,3.13,50.55,1.28,10.6,269,-,-,60.3%,10.3%,14.9%,
334,Bard,17,22.1%,5,12,5,3,9,25%,1,3.92,5.92,1.77,23.08,0.66,8.8,251,-,-,64.3%,9.3%,15.1%,
335,Braum,16,20.8%,-,16,12,6,10,37.5%,0.63,2.38,5.94,2.76,43.75,1.19,9.1,249,-,-,61.4%,5.8%,14.3%,
336,Ashe,15,19.5%,4,11,5,7,4,63.6%,3,2.36,5.55,3.62,385.55,9.33,17.5,424,-,-,64.8%,22.8%,22.8%,
337,Lucian,14,18.2%,1,13,7,7,6,53.8%,4.46,1.77,2.92,4.17,351.46,9.15,16,416,-,-,58.9%,35.6%,23.5%,
338,Malzahar,14,18.2%,3,11,8,5,6,45.5%,3.91,3.18,5.18,2.86,296.64,7.72,14.4,376,-,-,69%,29.7%,21.4%,
339,Orianna,13,16.9%,-,13,6,5,8,38.5%,3.08,2.69,3.54,2.46,422.54,9.45,18.2,407,-,-,65.2%,30.3%,23.1%,
340,Trundle,12,15.6%,1,11,6,6,5,54.5%,2.18,2,5,3.59,376.27,8.27,17.4,383,-,-,58.5%,17.8%,21%,
341,Ekko,11,14.3%,1,10,5,5,5,50%,3,2.3,4.3,3.17,296.1,8.24,13.8,384,-,-,61.3%,25.2%,21.4%,
342,Brand,9,11.7%,8,1,1,1,0,100%,3,1,4,7,32,0.79,12.7,314,-,-,70%,30%,16.8%,
343,Varus,8,10.4%,3,5,4,3,2,60%,2.6,2,4.6,3.6,414.8,8.64,18.9,393,-,-,64.3%,23.2%,22.1%,
344,Zac,8,10.4%,4,4,3,2,2,50%,2.5,2.25,5.75,3.67,191.75,4.35,15.3,348,-,-,67.3%,20.4%,19.2%,
345,Graves,7,9.1%,-,7,5,3,4,42.9%,2.29,2.57,5.86,3.17,171.57,5.09,12.1,360,-,-,64.8%,18.2%,20.8%,
346,Skarner,7,9.1%,1,6,5,4,2,66.7%,1.83,2.17,7.17,4.15,147.67,3.82,13.3,344,-,-,67.5%,13.8%,18.9%,
347,Miss Fortune,7,9.1%,4,3,2,3,0,100%,2,3,8.33,3.44,50.33,1.35,12.4,332,-,-,58.5%,11.3%,16.3%,
348,Irelia,6,7.8%,1,5,4,3,2,60%,4.4,4,2.4,1.7,281.6,7.99,13.9,394,-,-,52.3%,33.8%,21.5%,
349,Twisted Fate,6,7.8%,5,1,1,0,1,0%,0,6,5,0.83,374,7.97,17.9,382,-,-,71.4%,0%,21.7%,
350,Jinx,5,6.5%,-,5,3,2,3,40%,2.4,1.6,4.2,4.13,361,9.58,15.3,406,-,-,63.5%,23.1%,23.2%,
351,Zilean,4,5.2%,-,4,4,1,3,25%,2.75,3.75,4.75,2,356,8.68,15.5,377,-,-,57.7%,21.2%,22.1%,
352,Kassadin,4,5.2%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
353,Hecarim,3,3.9%,-,3,2,2,1,66.7%,2,1.33,6.33,6.25,145.67,4.19,12.1,347,-,-,75.8%,18.2%,19.7%,
354,Lissandra,3,3.9%,-,3,2,2,1,66.7%,3.33,3.33,5.33,2.6,318.33,8.68,14.5,395,-,-,65%,25%,21%,
355,Soraka,3,3.9%,1,2,2,1,1,50%,0.5,3,10.5,3.67,23,0.54,10.9,257,-,-,88%,4%,14.6%,
356,Maokai,2,2.6%,-,2,2,1,1,50%,2.5,2.5,11.5,5.6,281,7.28,13.7,353,-,-,77.8%,13.9%,19.3%,
357,Anivia,2,2.6%,1,1,1,1,0,100%,2,2,5,3.5,302,7.48,15.6,386,-,-,70%,20%,20.6%,
358,Shen,2,2.6%,1,1,1,0,1,0%,3,4,6,2.25,174,6.3,8.9,322,-,-,75%,25%,22%,
359,Nocturne,1,1.3%,-,1,1,1,0,100%,3,2,11,7,166,3.8,16.4,376,-,-,73.7%,15.8%,19.4%,
360,Taric,1,1.3%,-,1,1,1,0,100%,0,7,9,1.29,134,2.02,19.5,294,-,-,56.3%,0%,16.3%,
361,Fiora,1,1.3%,-,1,1,0,1,0%,5,7,5,1.43,263,7.56,13.4,385,-,-,66.7%,33.3%,22.7%,
362,Kha'Zix,1,1.3%,-,1,1,0,1,0%,4,4,3,1.75,164,3.61,14.5,319,-,-,70%,40%,20.1%,
363,Kindred,1,1.3%,-,1,1,0,1,0%,2,5,0,0.4,123,3.91,9.6,305,-,-,66.7%,66.7%,20.3%,
364,Kled,1,1.3%,-,1,1,0,1,0%,1,6,6,1.17,244,7.18,11,324,-,-,50%,7.1%,20.1%,
365,Nautilus,1,1.3%,-,1,1,0,1,0%,1,4,7,2,315,6.93,14.6,321,-,-,80%,10%,20.2%,
366,Pantheon,120,100%,119,1,1,1,0,100%,5,7,10,2.14,261,6.52,14.5,362,-,-,71.4%,23.8%,19.1%,
367,Qiyana,109,90.8%,86,23,15,13,10,56.5%,4.09,3,5.7,3.26,191.65,5.95,11.5,359,-,-,60.3%,25.2%,19.6%,
368,Xayah,102,85%,45,57,21,35,22,61.4%,4.39,1.75,4.86,5.27,339.32,10.27,15.4,467,-,-,68.9%,32.7%,25.5%,
369,Syndra,96,80%,67,29,15,13,16,44.8%,3.45,2.55,4,2.92,315.52,8.86,14.2,400,-,-,59.3%,27.5%,22.5%,
370,Renekton,95,79.2%,62,33,17,17,16,51.5%,2.85,2.64,3.42,2.38,262.27,7.85,13.1,391,-,-,47.6%,21.6%,21.4%,
371,Akali,89,74.2%,54,35,20,17,18,48.6%,3.89,1.83,3.83,4.22,292.49,8.76,13.6,406,-,-,54%,27.2%,22.2%,
372,Kai'Sa,88,73.3%,17,71,22,37,34,52.1%,4.69,1.9,4.11,4.63,307.1,9.58,14.5,453,-,-,65.2%,34.8%,24.9%,
373,Gragas,83,69.2%,34,49,18,32,17,65.3%,1.88,2.78,7.53,3.39,128.57,3.86,10,301,-,-,66%,13.2%,16.4%,
374,Nautilus,77,64.2%,25,52,21,28,24,53.8%,1.08,3.33,7.25,2.5,75,2.22,8.6,253,-,-,58.8%,7.6%,14%,
375,Gangplank,72,60%,34,38,16,21,17,55.3%,2.53,2.61,6.26,3.37,278.5,8.03,14.5,417,-,-,63.6%,18.3%,22.8%,
376,Lee Sin,71,59.2%,13,58,18,30,28,51.7%,2.66,2.5,5.97,3.45,159.55,4.84,10.8,329,-,-,67.8%,20.9%,18%,
377,Rakan,71,59.2%,28,43,15,23,20,53.5%,0.51,2.26,9.21,4.31,18.19,0.54,8.3,247,-,-,76.7%,4%,13.8%,
378,Kayle,67,55.8%,43,24,16,12,12,50%,2.33,2.92,6.04,2.87,279.54,8.55,13.4,409,-,-,63%,17.6%,22.5%,
379,Elise,66,55%,34,32,15,16,16,50%,3.19,2.84,5.69,3.12,172.63,5.08,11.4,336,-,-,62.8%,22.6%,18.3%,
380,LeBlanc,65,54.2%,44,21,13,11,10,52.4%,3.19,2.24,4,3.21,264.86,7.91,12.6,376,-,-,59.2%,26.3%,20.9%,
381,Ryze,62,51.7%,26,36,16,22,14,61.1%,3.08,2.58,5.36,3.27,312.47,9.67,14.1,438,-,-,58.5%,21.3%,23.2%,
382,Thresh,44,36.7%,9,35,15,16,19,45.7%,0.77,2.94,8.34,3.1,15.91,0.48,8.1,244,-,-,66.6%,5.6%,13.5%,
383,Rek'Sai,43,35.8%,21,22,13,11,11,50%,3.14,2.41,4.64,3.23,170.64,5.12,11.2,337,-,-,59.6%,24%,18.4%,
384,Tristana,39,32.5%,21,18,15,8,10,44.4%,3.56,2.56,3.33,2.7,314.33,8.94,14.8,421,-,-,59.6%,30.8%,24%,
385,Yuumi,39,32.5%,26,13,6,5,8,38.5%,1.46,1.85,10,6.21,59.92,1.74,10.6,307,-,-,83.7%,10.7%,16.9%,
386,Ezreal,36,30%,11,25,14,11,14,44%,3,2.2,4.12,3.24,332.92,9.66,15.1,439,-,-,66.4%,28%,24.8%,
387,Vladimir,33,27.5%,16,17,7,9,8,52.9%,3.53,2.76,5.47,3.26,265.12,8.37,13.3,420,-,-,59.3%,23.3%,23.1%,
388,Yasuo,33,27.5%,18,15,8,10,5,66.7%,2.6,2.53,5.47,3.18,279.87,9.05,13,421,-,-,64.4%,20.7%,22.8%,
389,Jayce,32,26.7%,13,19,8,8,11,42.1%,2.79,3.05,4.16,2.28,270.84,8.48,13,407,-,-,64.7%,26%,22.9%,
390,Twisted Fate,32,26.7%,23,9,6,4,5,44.4%,1.22,3,4.11,1.78,263.56,8.21,13.3,414,-,-,56.5%,12.9%,23.2%,
391,Jarvan IV,31,25.8%,13,18,13,7,11,38.9%,1.17,2.83,7.78,3.16,149.78,4.52,10,301,-,-,80.9%,10.6%,17.3%,
392,Leona,30,25%,10,20,11,13,7,65%,0.75,3.7,7.85,2.32,73,2.08,9,256,-,-,57.3%,5%,13.7%,
393,Olaf,30,25%,20,10,7,6,4,60%,3.7,2.8,4.2,2.82,149.3,4.89,10.3,338,-,-,57.2%,26.8%,18.4%,
