,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
133,Rumble,10,15.9%,2,8,5,2,6,25%,2.5,5,8.63,2.23,193.25,5.27,9.8,268,-,-,-,-,-,
134,Lissandra,10,15.9%,4,6,5,3,3,50%,2.83,3,5.17,2.67,231.67,8.1,9.9,346,-,-,-,-,-,
135,Kog'Maw,8,12.7%,1,7,3,5,2,71.4%,4,1.43,5.71,6.8,248.57,7.69,11.8,364,-,-,-,-,-,
136,Fiddlesticks,8,12.7%,2,6,5,4,2,66.7%,1.33,4,11.5,3.21,24.17,0.82,7.2,245,-,-,-,-,-,
137,Twitch,8,12.7%,5,3,2,1,2,33.3%,5,3,6,3.67,254,7.43,12.6,368,-,-,-,-,-,
138,Ashe,7,11.1%,1,6,3,3,3,50%,3.67,2.83,8,4.12,195.5,6.42,10.7,351,-,-,-,-,-,
139,Nocturne,7,11.1%,2,5,3,1,4,20%,1.8,3,4.4,2.07,150.4,4.88,8.5,277,-,-,-,-,-,
140,Vladimir,6,9.5%,-,6,5,2,4,33.3%,2,4.5,3.17,1.15,224.83,7.38,9.8,323,-,-,-,-,-,
141,Singed,6,9.5%,1,5,3,3,2,60%,1.6,2,7.2,4.4,234.8,7.14,10.8,329,-,-,-,-,-,
142,Lulu,5,7.9%,-,5,4,1,4,20%,0,3.6,3.4,0.94,15.8,0.53,5.2,173,-,-,-,-,-,
143,Ryze,5,7.9%,-,5,2,1,4,20%,3.4,4.4,3.8,1.64,218.8,7.33,9.7,324,-,-,-,-,-,
144,Karthus,5,7.9%,2,3,3,1,2,33.3%,5.33,5,5.33,2.13,276.67,7.92,12.4,355,-,-,-,-,-,
145,Nasus,4,6.3%,-,4,3,2,2,50%,1.5,3.5,5.5,2,183.75,6.15,9.1,305,-,-,-,-,-,
146,Nidalee,3,4.8%,-,3,3,2,1,66.7%,2.33,1.67,2.67,3,250.67,7.41,11.7,345,-,-,-,-,-,
147,Diana,3,4.8%,-,3,3,1,2,33.3%,3.33,3.33,4.67,2.4,249,7.85,10.9,345,-,-,-,-,-,
148,Nunu,3,4.8%,-,3,2,1,2,33.3%,1.67,3.67,9.67,3.09,85.33,2.27,9.6,256,-,-,-,-,-,
149,Tristana,3,4.8%,-,3,3,1,2,33.3%,3.33,2.33,2.67,2.57,264.33,7.6,11.7,337,-,-,-,-,-,
150,Malphite,3,4.8%,-,3,3,0,3,0%,1.67,2.67,3.67,2,177,5.91,7.8,260,-,-,-,-,-,
151,Yorick,3,4.8%,1,2,2,1,1,50%,1,2,4.5,2.75,190.5,5.58,9.9,290,-,-,-,-,-,
152,Riven,2,3.2%,-,2,1,2,0,100%,3.5,3,7,3.5,241,7.57,11.9,374,-,-,-,-,-,
153,Nami,2,3.2%,-,2,1,1,1,50%,0,2,10.5,5.25,27.5,0.75,7,191,-,-,-,-,-,
154,Syndra,2,3.2%,-,2,1,1,1,50%,9,3.5,7.5,4.71,271,9.12,13,438,-,-,-,-,-,
155,Shyvana,2,3.2%,-,2,2,0,2,0%,0.5,4.5,1.5,0.44,225.5,6.87,9.2,280,-,-,-,-,-,
156,Blitzcrank,1,1.6%,-,1,1,1,0,100%,4,2,12,8,14,0.47,8.7,290,-,-,-,-,-,
157,Cassiopeia,1,1.6%,-,1,1,1,0,100%,6,0,3,9,319,8.65,15.7,426,-,-,-,-,-,
158,Jayce,1,1.6%,-,1,1,1,0,100%,6,2,11,8.5,237,8.2,13.3,460,-,-,-,-,-,
159,Kayle,1,1.6%,-,1,1,1,0,100%,7,10,13,2,307,6.15,18.4,369,-,-,-,-,-,
160,Sivir,1,1.6%,-,1,1,1,0,100%,7,2,19,13,172,5.73,12.4,413,-,-,-,-,-,
161,Tryndamere,1,1.6%,-,1,1,1,0,100%,5,2,5,5,264,7.67,14,407,-,-,-,-,-,
162,Veigar,1,1.6%,-,1,1,1,0,100%,1,1,4,5,25,0.68,8.8,239,-,-,-,-,-,
163,Volibear,1,1.6%,-,1,1,1,0,100%,8,3,14,7.33,96,2.67,11.7,326,-,-,-,-,-,
164,Dr. Mundo,1,1.6%,-,1,1,0,1,0%,1,7,1,0.29,99,4.14,5.3,221,-,-,-,-,-,
165,Hecarim,1,1.6%,-,1,1,0,1,0%,8,2,7,7.5,173,5.03,11.3,328,-,-,-,-,-,
166,Karma,1,1.6%,-,1,1,0,1,0%,3,7,3,0.86,85,3.55,6.2,259,-,-,-,-,-,
167,Miss Fortune,1,1.6%,-,1,1,0,1,0%,1,3,2,1,214,6.58,9.2,283,-,-,-,-,-,
168,Soraka,1,1.6%,-,1,1,0,1,0%,0,8,8,1,120,4,6.4,213,-,-,-,-,-,
169,Swain,1,1.6%,-,1,1,0,1,0%,2,5,4,1.2,263,7.55,10.7,307,-,-,-,-,-,
170,Teemo,1,1.6%,-,1,1,0,1,0%,3,6,8,1.83,164,4.77,9.3,270,-,-,-,-,-,
171,Xin Zhao,1,1.6%,-,1,1,0,1,0%,1,6,1,0.33,94,2.89,7,215,-,-,-,-,-,
172,Zilean,1,1.6%,-,1,1,0,1,0%,5,7,4,1.29,96,3.2,8.2,273,-,-,-,-,-,
173,Ziggs,1,1.6%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,Alistar,78,100%,73,5,5,4,1,80%,2,2.6,8.2,3.92,163.8,5.31,10.1,327,-,-,72.9%,14.3%,19.4%,
175,Zilean,75,96.2%,62,13,11,6,7,46.2%,2.23,2.62,7.08,3.56,150.08,4.21,10.8,302,-,-,68.8%,16.5%,18.7%,
176,Lee Sin,72,92.3%,29,43,16,24,19,55.8%,2.91,2.74,7.21,3.69,102.6,2.84,10.4,287,-,-,65.9%,18.9%,17.5%,
177,Maokai,72,92.3%,45,27,12,17,10,63%,2.7,3.11,9.59,3.95,221.52,6.16,12.3,342,-,-,67.9%,14.9%,19.9%,
178,Ryze,68,87.2%,31,37,14,22,15,59.5%,3.49,3.16,5.54,2.85,232.95,6.65,12.3,351,-,-,61.6%,23.8%,21%,
179,Kha'Zix,66,84.6%,8,58,18,25,33,43.1%,2.98,2.57,4.79,3.03,137.84,3.8,10.8,299,-,-,61.1%,23.4%,18.8%,
180,Thresh,63,80.8%,19,44,15,24,20,54.5%,0.8,3.34,9.84,3.18,31.27,0.88,8.4,237,-,-,68.1%,5.1%,14.3%,
181,Lucian,61,78.2%,17,44,15,23,21,52.3%,4.77,2.36,4.93,4.11,325.05,8.68,15.1,404,-,-,69%,33.9%,24.6%,
182,Janna,53,67.9%,8,45,14,28,17,62.2%,0.33,2.11,11.13,5.43,19.87,0.55,9.2,255,-,-,73.5%,2.1%,15.3%,
183,Rumble,40,51.3%,15,25,11,13,12,52%,2.72,3.76,7.88,2.82,211,5.34,12.3,310,-,-,63.7%,16.3%,19.2%,
184,Tristana,39,50%,7,32,15,12,20,37.5%,3.94,2.19,3.41,3.36,299.78,8.73,13.3,388,-,-,68.3%,36.6%,25.1%,
185,Zed,38,48.7%,19,19,9,9,10,47.4%,4.53,3.58,4.32,2.47,306.79,7.88,14.4,369,-,-,63.2%,32.3%,23.2%,
186,Twitch,35,44.9%,11,24,9,17,7,70.8%,5.96,2.42,7.58,5.6,225.63,6.6,13.1,383,-,-,63.6%,28%,21.6%,
187,Rengar,33,42.3%,19,14,6,12,2,85.7%,4.36,2.43,9.57,5.74,117.07,3.42,11.6,338,-,-,65%,20.3%,18.3%,
188,Orianna,32,41%,5,27,12,14,13,51.9%,3.22,2.7,5.7,3.3,300.63,8.41,13.2,368,-,-,73.5%,26.5%,23.2%,
189,Yasuo,30,38.5%,15,15,8,10,5,66.7%,4.07,2.27,6,4.44,285.73,8.89,13,405,-,-,59.7%,24.1%,23.4%,
190,Nami,29,37.2%,3,26,12,10,16,38.5%,0.88,3.27,8.15,2.76,18.58,0.48,9.2,239,-,-,73.7%,7.2%,15.2%,
191,Syndra,25,32.1%,11,14,9,5,9,35.7%,4.21,3.64,5.07,2.55,337.21,8.13,15.1,365,-,-,64.4%,29.2%,23.5%,
192,Nidalee,25,32.1%,17,8,6,1,7,12.5%,2.25,5.25,2.75,0.95,231.38,6.21,11.5,309,-,-,48.2%,21.7%,20.7%,
193,Fizz,24,30.8%,11,13,7,5,8,38.5%,5,3.08,4.31,3.03,247.08,7.46,12.1,365,-,-,62.7%,33.7%,23%,
194,Corki,22,28.2%,-,22,7,12,10,54.5%,4.14,2.36,5.32,4,275.45,7.82,13.3,379,-,-,63%,27.6%,22.8%,
195,Irelia,21,26.9%,6,15,7,10,5,66.7%,3,1.4,6.2,6.57,238.27,6.77,12.3,351,-,-,63.6%,20.7%,20.9%,
196,Jayce,20,25.6%,8,12,6,7,5,58.3%,3.83,2.5,6.67,4.2,244.08,7.26,12.6,375,-,-,66%,24.1%,21.9%,
197,Jarvan IV,18,23.1%,1,17,10,6,11,35.3%,1.71,3.59,8.94,2.97,112.76,3.15,10.1,282,-,-,79.7%,12.8%,17.9%,
198,Kog'Maw,17,21.8%,1,16,9,7,9,43.8%,3.63,2.5,5.25,3.55,294.69,7.21,14.6,357,-,-,71.4%,29.1%,22.9%,
199,Lulu,17,21.8%,2,15,10,5,10,33.3%,1.27,2.6,4,2.03,243.07,6.72,11.4,316,-,-,64.2%,15.4%,20.9%,
200,Elise,16,20.5%,1,15,9,5,10,33.3%,1.47,3.33,4.07,1.66,114.8,2.96,10.1,260,-,-,52.2%,13.8%,16.9%,
201,Kayle,15,19.2%,2,13,10,5,8,38.5%,1.62,3.08,6.62,2.68,221.54,6.19,11.3,316,-,-,68.2%,13.4%,20.6%,
202,Twisted Fate,14,17.9%,6,8,4,3,5,37.5%,4.88,3.38,6.63,3.41,296.25,8.7,14.9,439,-,-,68.1%,28.9%,25.9%,
203,Ahri,13,16.7%,1,12,8,5,7,41.7%,3.58,2.58,4.58,3.16,300.25,7.72,14,361,-,-,69%,30.3%,23%,
204,Braum,12,15.4%,-,12,9,6,6,50%,0.08,3.75,9.42,2.53,36.75,1.14,7.8,242,-,-,69.1%,0.6%,14.8%,
205,Morgana,12,15.4%,-,12,6,6,6,50%,0.5,3.17,8.75,2.92,24.83,0.63,10.2,261,-,-,67.3%,3.6%,15.9%,
